hour,load_kw,pv_kw,price
0.0,3439.8466,0.0,0.4248
0.16666666666666666,3437.9792,0.0,0.4245
0.3333333333333333,3444.3031,0.0,0.4269
0.5,3454.4437,0.0,0.4272
0.6666666666666666,3458.8273,0.0,0.4271
0.8333333333333334,3459.8401,0.0,0.4285
1.0,3467.1582,0.0,0.4311
1.1666666666666667,3467.9632,0.0,0.4302
1.3333333333333333,3466.9683,0.0,0.4279
1.5,3482.4927,0.0,0.4312
1.6666666666666667,3495.0841,0.0,0.4333
1.8333333333333333,3498.4443,0.0,0.4311
2.0,3505.2295,0.0,0.4293
2.1666666666666665,3512.6387,0.0,0.4324
2.3333333333333335,3516.8685,0.0,0.4367
2.5,3517.9246,0.0,0.4348
2.6666666666666665,3518.5518,0.0,0.4335
2.8333333333333335,3521.0976,0.0,0.4357
3.0,3526.9261,0.0,0.4374
3.1666666666666665,3537.2854,0.0,0.4371
3.3333333333333335,3544.8808,0.0,0.4356
3.5,3541.2787,0.0,0.4353
3.6666666666666665,3546.3976,0.0,0.436
3.8333333333333335,3560.207,0.0,0.4378
4.0,3561.9581,0.0,0.4401
4.166666666666667,3556.7183,0.0,0.4389
4.333333333333333,3560.0272,0.0,0.4364
4.5,3580.654,0.5994,0.4393
4.666666666666667,3586.916,0.2345,0.4422
4.833333333333333,3571.2635,0.2885,0.4395
5.0,3562.3171,18.6781,0.4333
5.166666666666667,3591.3809,54.4698,0.4439
5.333333333333333,3579.7045,108.9718,0.4301
5.5,3486.119,184.1603,0.3713
5.666666666666667,3823.8994,277.0582,0.5708
5.833333333333333,4398.0727,388.5494,0.9099
6.0,4454.0123,521.2803,0.9368
6.166666666666667,4371.7919,672.7677,0.8758
6.333333333333333,4392.953,844.2261,0.8759
6.5,4384.5956,1039.6744,0.8601
6.666666666666667,4434.7757,1259.3375,0.8442
6.833333333333333,4523.4561,1508.6318,0.8334
7.0,4524.0721,1791.4107,0.8092
7.166666666666667,4545.8867,2085.4865,0.7972
7.333333333333333,4523.2418,2381.2611,0.7644
7.5,4383.3566,2683.1752,0.6899
7.666666666666667,4910.4599,2986.3552,0.86
7.833333333333333,5799.7327,3289.204,1.1617
8.0,5884.826,3593.3613,1.1683
8.166666666666666,5748.0713,3890.7332,1.0956
8.333333333333334,5769.0581,4181.3417,1.0849
8.5,5754.2105,4471.7657,1.061
8.666666666666666,5824.1807,4752.8272,1.043
8.833333333333334,5954.2601,5021.9074,1.036
9.0,5958.9696,5285.4126,1.0147
9.166666666666666,5929.5554,5543.1742,0.9922
9.333333333333334,5923.7828,5788.4093,0.97
9.5,5907.586,6012.1304,0.9422
9.666666666666666,5899.1262,6216.1528,0.9569
9.833333333333334,5902.2196,6409.5941,0.9977
10.0,5897.4793,6599.3808,0.9919
10.166666666666666,5886.7568,6766.7204,0.9588
10.333333333333334,5873.4708,6914.5923,0.9549
10.5,5858.0308,7064.2053,0.9839
10.666666666666666,5844.9948,7197.4315,0.799
10.833333333333334,5839.0587,7303.1142,0.5025
11.0,5838.7103,7387.6848,0.4662
11.166666666666666,5823.4378,7459.227,0.5007
