hour,grid_kwh,charge_kwh,discharge_kwh
0.0,1406.6410999999998,833.3333333333333,0.0
0.16666666666666666,1406.3298666666665,833.3333333333333,0.0
0.3333333333333333,1407.38385,833.3333333333333,0.0
0.5,1409.07395,833.3333333333333,0.0
0.6666666666666666,1409.8045499999998,833.3333333333333,0.0
0.8333333333333334,576.6400166666666,0.0,0.0
1.0,577.8597,0.0,0.0
1.1666666666666667,577.9938666666667,0.0,0.0
1.3333333333333333,911.1613833333333,333.3333333333333,0.0
1.5,580.41545,0.0,0.0
1.6666666666666667,582.5140166666666,0.0,0.0
1.8333333333333333,583.0740499999999,0.0,0.0
2.0,584.2049166666666,0.0,0.0
2.1666666666666665,585.4397833333333,0.0,0.0
2.3333333333333335,586.1447499999999,0.0,0.0
2.5,586.3207666666666,0.0,0.0
2.6666666666666665,586.4253,0.0,0.0
2.8333333333333335,586.8496,0.0,0.0
3.0,587.8210166666667,0.0,0.0
3.1666666666666665,589.5475666666666,0.0,0.0
3.3333333333333335,590.8134666666666,0.0,0.0
3.5,590.2131166666666,0.0,0.0
3.6666666666666665,591.0662666666666,0.0,0.0
3.8333333333333335,593.3678333333332,0.0,0.0
4.0,593.6596833333333,0.0,0.0
4.166666666666667,592.7863833333333,0.0,0.0
4.333333333333333,593.3378666666666,0.0,0.0
4.5,596.6757666666666,0.0,0.0
4.666666666666667,597.78025,0.0,0.0
4.833333333333333,595.1624999999999,0.0,0.0
5.0,590.6065,0.0,0.0
5.166666666666667,589.4851833333333,0.0,0.0
5.333333333333333,578.4554499999999,0.0,0.0
5.5,1383.6597833333333,833.3333333333333,0.0
5.666666666666667,591.1401999999999,0.0,-0.0
5.833333333333333,0.0,0.0,668.2538833333333
6.0,0.0,0.0,655.4553333333333
6.166666666666667,0.0,0.0,616.5040333333334
6.333333333333333,0.0,0.0,591.4544833333334
6.5,0.0,0.0,557.4868666666666
6.666666666666667,0.0,0.0,529.2397
6.833333333333333,0.0,0.0,502.4707166666667
7.0,0.0,0.0,455.4435666666667
7.166666666666667,0.0,0.0,410.06669999999997
7.333333333333333,0.0,0.0,356.99678333333327
7.5,0.0,0.0,283.36356666666666
7.666666666666667,0.0,0.0,320.6841166666666
7.833333333333333,0.0,0.0,418.4214499999999
8.0,0.0,0.0,381.9107833333333
8.166666666666666,0.0,0.0,309.5563499999999
8.333333333333334,0.0,0.0,264.61940000000004
8.5,0.0,0.0,213.74080000000004
8.666666666666666,0.0,0.0,178.55891666666668
8.833333333333334,0.0,0.0,155.3921166666667
9.0,0.0,0.0,112.25950000000012
9.166666666666666,0.0,0.0,64.39686666666663
9.333333333333334,0.0,0.0,22.56224999999995
9.5,0.0,17.424066666666626,0.0
9.666666666666666,0.0,52.83776666666669,0.0
9.833333333333334,0.0,84.56241666666665,0.0
10.0,0.0,116.98358333333331,0.0
10.166666666666666,0.0,146.6606,0.0
10.333333333333334,0.0,173.52025000000003,0.0
10.5,0.0,201.02908333333318,0.0
10.666666666666666,0.0,225.40611666666655,0.0
10.833333333333334,0.0,244.00925000000007,0.0
11.0,575.1709166666666,833.3333333333333,0.0
11.166666666666666,0.0,272.6315333333333,0.0
11.333333333333334,0.0,284.32098333333334,0.0
11.5,179.2771713991827,468.5786380658495,0.0
11.666666666666666,520.1245166666665,833.3333333333333,0.0
11.833333333333334,486.4028999999998,833.3333333333333,0.0
12.0,480.4124499999999,833.3333333333333,0.0
12.166666666666666,485.29999999999995,833.3333333333333,0.0
12.333333333333334,488.6069666666665,833.3333333333333,0.0
12.5,498.2707333333332,833.3333333333333,0.0
12.666666666666666,0.0,304.5517666666666,0.0
12.833333333333334,0.0,264.5071833333333,0.0
13.0,0.0,242.50754999999995,0.0
13.166666666666666,0.0,223.07558333333327,0.0
13.333333333333334,0.0,198.7593166666667,0.0
13.5,0.0,177.35981666666672,0.0
13.666666666666666,0.0,151.74029999999993,0.0
13.833333333333334,0.0,120.03503333333325,0.0
14.0,0.0,87.81445,0.0
14.166666666666666,0.0,53.62486666666655,0.0
14.333333333333334,0.0,16.255133333333408,0.0
14.5,0.0,0.0,23.78136666666675
14.666666666666666,0.0,0.0,67.3200166666667
14.833333333333334,112.0898666666667,0.0,0.0
15.0,266.7326936213991,112.47084362139907,0.0
15.166666666666666,197.52351666666664,0.0,0.0
15.333333333333334,244.81403333333324,0.0,0.0
15.5,295.5346166666667,0.0,0.0
15.666666666666666,345.77750000000003,0.0,0.0
15.833333333333334,394.93148333333335,0.0,0.0
16.0,445.43165000000005,0.0,-0.0
16.166666666666668,495.69658333333325,0.0,-0.0
16.333333333333332,547.11905,0.0,-0.0
16.5,599.9854333333333,0.0,-0.0
16.666666666666668,635.4297499999999,0.0,-0.0
16.833333333333332,660.8306833333334,0.0,-0.0
17.0,702.0369333333333,0.0,-0.0
17.166666666666668,738.0657833333332,0.0,-0.0
17.333333333333332,775.9447166666666,0.0,-0.0
17.5,826.0832499999999,0.0,0.0
17.666666666666668,762.4227999999999,0.0,-0.0
17.833333333333332,636.9826166666667,0.0,-0.0
18.0,531.8940499999999,0.0,109.26725000000005
18.166666666666668,678.8305333333333,0.0,0.0
18.333333333333332,686.2684999999999,0.0,0.0
18.5,696.5043833333332,0.0,0.0
18.666666666666668,0.0,0.0,704.6342666666666
18.833333333333332,0.0,0.0,706.4840333333333
19.0,0.0,0.0,707.4064666666666
19.166666666666668,0.0,0.0,708.553
19.333333333333332,0.0,0.0,709.4468833333333
19.5,0.0,0.0,711.23245
19.666666666666668,0.0,0.0,711.6625
19.833333333333332,0.0,0.0,711.4450333333332
20.0,0.0,0.0,713.7040833333333
20.166666666666668,0.0,0.0,715.28415
20.333333333333332,0.0,0.0,715.22685
20.5,0.0,0.0,715.6530333333333
20.666666666666668,715.8689166666666,0.0,-0.0
20.833333333333332,717.0051166666667,0.0,0.0
21.0,720.1603,0.0,0.0
21.166666666666668,717.0548666666666,0.0,0.0
21.333333333333332,720.4459666666667,0.0,0.0
21.5,738.1347166666666,0.0,-0.0
21.666666666666668,671.6935666666666,0.0,-0.0
21.833333333333332,1393.7903166666665,833.3333333333333,0.0
22.0,1384.8989,833.3333333333333,0.0
22.166666666666668,568.8260499999999,0.0,0.0
22.333333333333332,1396.98855,833.3333333333333,0.0
22.5,1397.7598666666665,833.3333333333333,0.0
22.666666666666668,566.7474333333332,0.0,0.0
22.833333333333332,1399.8737666666666,833.3333333333333,0.0
23.0,567.83015,0.0,0.0
23.166666666666668,569.3586333333333,0.0,0.0
23.333333333333332,1403.6635166666665,833.3333333333333,0.0
23.5,904.9487166666665,333.3333333333333,0.0
23.666666666666668,573.1768333333333,0.0,0.0
23.833333333333332,574.1209833333332,0.0,0.0
